pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
10169,Articuno Galar,I,Freeze Pokémon,Psychic,Flying,1.7,50.9,90,85,85,125,100,95,Competitive,,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,"The magnificent, seemingly translu­ cent wings of this legendary bird POKéMON are said to be made of ice.","ARTICUNO is a legendary bird POKéMON that can control ice. The flapping of its wings chills the air. As a result, it is said that when this POKéMON flies, snow will fall.",A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",
10170,Zapdos Galar,I,Electric Pokémon,Fighting,Flying,1.6,58.2,90,125,90,85,90,100,Defiant,,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,This legendary bird POKéMON causes savage thunderstorms by flapping its glit­ tering wings.,ZAPDOS is a legendary bird POKéMON that has the ability to control electricity. It usually lives in thunderclouds. The POKéMON gains power if it is stricken by lightning bolts.,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.,,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,
10171,Moltres Galar,I,Flame Pokémon,Dark,Flying,2.0,66.0,90,85,90,100,125,90,Berserk,,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,This legendary POKéMON scatters embers with every flap of its wings. It is a thrilling sight to behold.,"MOLTRES is a legendary bird POKéMON that has the ability to control fire. If this POKéMON is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.,,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",
10172,Slowking Galar,II,Royal Pokémon,Poison,Psychic,1.8,79.5,95,65,80,110,110,30,"Curious Medicine, Own Tempo, Regenerator",Slowpoke,,,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected.","SLOWKING undertakes research every day in an effort to solve the mysteries of the world. However, this POKéMON apparently forgets everything it has learned if the SHELLDER on its head comes off.",Being bitten by SHELLDER gave it intelligence comparable to that of award-winning scientists.,Being bitten by Shellder gave it intelligence comparable to that of award-winning scientists.,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.","A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.","Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain.",
10173,Corsola Galar,II,Coral Pokémon,Ghost,,0.6,0.5,60,55,100,65,100,30,"Weak Armor, Cursed Body",,,,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,"CORSOLA’s branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this POKéMON grows it back in just one night.",Many live in the clean seas of the south. They apparently can’t live in polluted waters.,Many live in the clean seas of the south. They apparently can’t live in polluted waters.,It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.,"Coral branches grow from its head. They break off quite easily, but they grow back in about three days.",It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.,
10174,Zigzagoon Galar,III,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,38,30,41,30,41,60,"Pickup, Gluttony, Quick Feet",,,,,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.,It walks in zigzag fashion. It is good at finding items in the grass and even in the ground.,It walks in zigzag fashion. It is good at finding items in the grass and even in the ground.,It walks in zigzag fashion. It’s good at finding items in the grass and even in the ground.,,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.,
10175,Linoone Galar,III,Rushing Pokémon,Dark,Normal,0.5,32.5,78,70,61,50,61,100,"Pickup, Gluttony, Quick Feet",Zigzagoon,,,,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads.","It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails.","It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails.","When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads.",,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.,
10176,Darumaka Galar,V,Zen Charm Pokémon,Ice,,0.7,40.0,70,90,45,15,45,50,"Hustle, Inner Focus",,,,,,,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.","Darumaka’s droppings are hot, so people used to put them in their clothes to keep themselves warm.",,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep.",
10177,Darmanitan Galar Standard,V,Blazing Pokémon,Ice,,1.7,120.0,105,140,55,30,55,95,"Gorilla Tactics, Zen Mode",Darumaka,,,,,,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.","When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind.",,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.,
10178,Darmanitan Galar Zen,V,Blazing Pokémon,Ice,Fire,1.7,120.0,105,160,55,30,55,135,"Gorilla Tactics, Zen Mode",Darumaka,,,,,,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.","When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind.",,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.,
10179,Yamask Galar,V,Spirit Pokémon,Ground,Ghost,0.5,1.5,38,55,85,30,65,30,Wandering Spirit,,,,,,,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,These Pokémon arose from the spirits of people interred in graves. Each retains memories of its former life.,,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human.",
10180,Stunfisk Galar,V,Trap Pokémon,Ground,Steel,0.7,20.5,109,81,99,66,84,32,Mimicry,,,,,,,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.","Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",,"Thanks to bacteria that lived in the mud flats with it, this Pokémon developed the organs it uses to generate electricity.",
10181,Zygarde 10,VI,Order Pokémon,Dragon,Ground,1.2,33.5,54,100,71,61,85,115,Aura Break,,,,,,,,"When the Kalos region’s ecosystem falls into disarray, it appears and reveals its secret power.","This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy.",,
10182,Cramorant Gulping,VIII,Gulp Pokémon,Flying,Water,0.8,18.0,70,85,55,85,95,85,Gulp Missile,,,,,,,,,,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",
10183,Cramorant Gorging,VIII,Gulp Pokémon,Flying,Water,0.8,18.0,70,85,55,85,95,85,Gulp Missile,,,,,,,,,,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",
10184,Toxtricity Low Key,VIII,Punk Pokémon,Electric,Poison,1.6,40.0,75,98,70,114,70,75,"Punk Rock, Minus, Technician",Toxel,,,,,,,,,"When this Pokémon sounds as if it’s strumming a guitar, it’s actually clawing at the protrusions on its chest to generate electricity.",
10185,Eiscue Noice,VIII,Penguin Pokémon,Ice,,1.4,89.0,75,80,70,65,50,130,Ice Face,,,,,,,,,,It drifted in on the flow of ocean waters from a frigid place. It keeps its head iced constantly to make sure it stays nice and cold.,
10186,Indeedee Female,VIII,Emotion Pokémon,Psychic,Normal,0.9,28.0,70,55,65,95,105,85,"Own Tempo, Synchronize, Psychic Surge",,,,,,,,,,"It uses the horns on its head to sense the emotions of others. Males will act as valets for those they serve, looking after their every need.",
10187,Morpeko Hangry,VIII,Two-Sided Pokémon,Electric,Dark,0.3,3.0,58,95,58,70,58,97,Hunger Switch,,,,,,,,,,"As it eats the seeds stored up in its pocket-like pouches, this Pokémon is not just satisfying its constant hunger. It’s also generating electricity.",
10188,Zacian Crowned,VIII,Warrior Pokémon,Fairy,Steel,2.8,355.0,92,150,115,80,115,148,Intrepid Sword,,,,,,,,,,"Known as a legendary hero, this Pokémon absorbs metal particles, transforming them into a weapon it uses to battle.",
10189,Zamazenta Crowned,VIII,Warrior Pokémon,Fighting,Steel,2.9,785.0,92,120,140,80,140,128,Dauntless Shield,,,,,,,,,,"In times past, it worked together with a king of the people to save the Galar region. It absorbs metal that it then uses in battle.",
10190,Eternatus Eternamax,VIII,Gigantic Pokémon,Poison,Dragon,100.0,0.0,255,115,250,125,250,130,Pressure,,,,,,,,,,The core on its chest absorbs energy emanating from the lands of the Galar region. This energy is what allows Eternatus to stay active.,
10191,Urshifu Rapid Strike,VIII,Wushu Pokémon,Fighting,Water,1.9,105.0,100,130,100,63,60,97,Unseen Fist,Kubfu,,,,,,,,,This form of Urshifu is a strong believer in the one-hit KO. Its strategy is to leap in close to foes and land a devastating blow with a hardened fist.,
10192,Zarude Dada,VIII,Rogue Monkey Pokémon,Dark,Grass,1.8,70.0,105,120,105,70,95,105,Leaf Guard,,,,,,,,,,"Within dense forests, this Pokémon lives in a pack with others of its kind. It’s incredibly aggressive, and the other Pokémon of the forest fear it.",
10193,Calyrex Ice,VIII,King Pokémon,Psychic,Ice,2.4,809.1,100,165,150,85,130,50,As One Glastrier,,,,,,,,,,"Calyrex is a merciful Pokémon, capable of providing healing and blessings. It reigned over the Galar region in times of yore.",
10194,Calyrex Shadow,VIII,King Pokémon,Psychic,Ghost,2.4,53.6,100,85,80,165,100,150,As One Spectrier,,,,,,,,,,"Calyrex is a merciful Pokémon, capable of providing healing and blessings. It reigned over the Galar region in times of yore.",
10195,Venusaur Gmax,I,Seed Pokémon,Grass,Poison,24.0,1000.0,80,82,83,100,100,80,"Overgrow, Chlorophyll",Ivysaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.",There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,
10196,Charizard Gmax,I,Flame Pokémon,Fire,Flying,28.0,1000.0,78,84,78,109,85,100,"Blaze, Solar Power",Charmeleon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color.","CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,
10197,Blastoise Gmax,I,Shellfish Pokémon,Water,,25.0,1000.0,79,83,100,85,105,78,"Torrent, Rain Dish",Wartortle,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",
10198,Butterfree Gmax,I,Butterfly Pokémon,Bug,Flying,17.0,1000.0,60,45,50,90,80,70,"Compound Eyes, Tinted Lens",Metapod,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","In battle, it flaps its wings at high speed to release highly toxic dust into the air.",It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",
10199,Pikachu Gmax,I,Mouse Pokémon,Electric,,21.0,1000.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,"When several of these POKéMON gather, their electricity could build and cause lightning storms.","When several of these POKéMON gather, their electricity could build and cause lightning storms.",This intelligent POKéMON roasts hard BERRIES with electricity to make them tender enough to eat.,"Whenever PIKACHU comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it’s evidence that this POKéMON mistook the intensity of its charge.",It lives in forests with others. It stores electricity in the pouches on its cheeks.,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.,It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.,A plan was recently announced to gather many Pikachu and make an electric power plant.,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,
10200,Meowth Gmax,I,Scratch Cat Pokémon,Normal,,33.0,1000.0,40,45,35,40,40,90,"Pickup, Technician, Unnerve",,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,It is fascinated by round objects. It can't stop playing with them until it tires and falls asleep.,"MEOWTH withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this POKéMON loves shiny coins that glitter with light.","It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.","It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.","It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.","It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.","It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",
10201,Machamp Gmax,I,Superpower Pokémon,Fighting,,25.0,1000.0,90,130,80,65,85,55,"Guts, No Guard, Steadfast",Machoke,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.","Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,"MACHAMP has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This POKéMON tends to leap into action before it thinks.","It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds.",Its four muscled arms slam foes with powerful punches and chops at blinding speed.,"Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds.",It unleashes megaton-level punches that send opponents flying clear over the horizon.,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,
10202,Gengar Gmax,I,Shadow Pokémon,Ghost,Poison,20.0,1000.0,60,65,60,130,75,110,Cursed Body,Haunter,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.","Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.","It steals heat from its surround­ ings. If you feel a sudden chill, it is certain that a GENGAR appeared.","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a GENGAR running past you, pretending to be your shadow.","It hides in shadows. It is said that if GENGAR is hiding, it cools the area by nearly 10 degrees F.",The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.,"It hides in shadows. It is said that if Gengar is hiding, it cools the area by nearly 10 degrees Fahrenheit.","Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up.","On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.",
10203,Kingler Gmax,I,Pincer Pokémon,Water,,19.0,1000.0,55,130,115,50,50,75,"Hyper Cutter, Shell Armor, Sheer Force",Krabby,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.","The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.","It can hardly lift its massive, overgrown pincer. The pincer's size makes it difficult to aim properly.","KINGLER has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the POKéMON quickly tires.","The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.","The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.","Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.",
10204,Lapras Gmax,I,Transport Pokémon,Water,Ice,24.0,1000.0,130,85,80,85,95,60,"Water Absorb, Shell Armor, Hydration",,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.,"They have gentle hearts. Because they rarely fight, many have been caught. Their num­ ber has dwindled.","People have driven LAPRAS almost to the point of extinction. In the evenings, this POKéMON is said to sing plaintively as it seeks what few others of its kind still remain.",It loves crossing the sea with people and Pokémon on its back. It understands human speech.,It loves crossing the sea with people and Pokémon on its back. It understands human speech.,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled.","Its high intelligence enables it to comprehend human speech. When it’s in a good mood, it sings in its beautiful voice.","A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",
10205,Eevee Gmax,I,Evolution Pokémon,Normal,,18.0,1000.0,55,55,50,45,65,55,"Run Away, Adaptability, Anticipation",,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,It has the ability to alter the com­ position of its body to suit its surrounding envi­ ronment.,EEVEE has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various STONES causes this POKéMON to evolve.,A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes.",A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.,"Possessing an unbalanced and unstable genetic makeup, it conceals many possible evolutions.",It has the ability to alter the composition of its body to suit its surrounding environment.,
10206,Snorlax Gmax,I,Sleeping Pokémon,Normal,,35.0,1000.0,160,110,65,65,110,30,"Immunity, Thick Fat, Gluttony",Munchlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.","Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",What sounds like its cry may ac­ tually be its snores or the rumblings of its hungry belly.,SNORLAX’s typical day consists of nothing more than eating and sleeping. It is such a docile POKéMON that there are children who use its expansive belly as a place to play.,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten.","When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.","It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",Its stomach is said to be incomparably strong. Even Muk’s poison is nothing more than a hint of spice on Snorlax’s tongue.,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",
10207,Garbodor Gmax,V,Trash Heap Pokémon,Poison,,21.0,1000.0,80,95,82,60,82,75,"Stench, Weak Armor, Aftermath",Trubbish,,,,,,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,"Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you’ll experience the effects of the unidentified toxin.","This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten.",
10208,Melmetal Gmax,VII,Hex Nut Pokémon,Steel,,25.0,1000.0,135,143,143,80,65,34,Iron Fist,Meltan,,,,,,,,,"At the end of its life-span, Melmetal will rust and fall apart. The small shards left behind will eventually be reborn as Meltan.",
10209,Rillaboom Gmax,VIII,Drummer Pokémon,Grass,,28.0,1000.0,100,125,90,60,70,85,"Overgrow, Grassy Surge",Thwackey,,,,,,,,,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",
10210,Cinderace Gmax,VIII,Striker Pokémon,Fire,,27.0,1000.0,80,116,75,65,75,119,"Blaze, Libero",Raboot,,,,,,,,,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.",
10211,Inteleon Gmax,VIII,Secret Agent Pokémon,Water,,40.0,1000.0,70,85,65,125,65,120,"Torrent, Sniper",Drizzile,,,,,,,,,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.",
10212,Corviknight Gmax,VIII,Raven Pokémon,Flying,Steel,14.0,1000.0,98,87,105,53,85,67,"Pressure, Unnerve, Mirror Armor",Corvisquire,,,,,,,,,This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.,
10213,Orbeetle Gmax,VIII,Seven Spot Pokémon,Bug,Psychic,14.0,1000.0,60,45,110,80,120,90,"Swarm, Frisk, Telepathy",Dottler,,,,,,,,,"It’s famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.",
10214,Drednaw Gmax,VIII,Bite Pokémon,Water,Rock,24.0,1000.0,90,115,90,48,68,74,"Strong Jaw, Shell Armor, Swift Swim",Chewtle,,,,,,,,,"With jaws that can shear through steel rods, this highly aggressive Pokémon chomps down on its unfortunate prey.",
10215,Coalossal Gmax,VIII,Coal Pokémon,Rock,Fire,42.0,1000.0,110,80,120,80,90,30,"Steam Engine, Flame Body, Flash Fire",Carkol,,,,,,,,,"It’s usually peaceful, but the vandalism of mines enrages it. Offenders will be incinerated with flames that reach 2,700 degrees Fahrenheit.",
10216,Flapple Gmax,VIII,Apple Wing Pokémon,Grass,Dragon,24.0,1000.0,70,110,80,95,60,70,"Ripen, Gluttony, Hustle",Applin,,,,,,,,,"It ate a sour apple, and that induced its evolution. In its cheeks, it stores an acid capable of causing chemical burns.",
10217,Appletun Gmax,VIII,Apple Nectar Pokémon,Grass,Dragon,24.0,1000.0,110,85,80,100,80,30,"Ripen, Gluttony, Thick Fat",Applin,,,,,,,,,"Eating a sweet apple caused its evolution. A nectarous scent wafts from its body, luring in the bug Pokémon it preys on.",
10218,Sandaconda Gmax,VIII,Sand Snake Pokémon,Ground,,22.0,1000.0,72,107,125,65,70,71,"Sand Spit, Shed Skin, Sand Veil",Silicobra,,,,,,,,,"When it contracts its body, over 220 pounds of sand sprays from its nose. If it ever runs out of sand, it becomes disheartened.",
10219,Toxtricity Amped Gmax,VIII,Punk Pokémon,Electric,Poison,24.0,1000.0,75,98,70,114,70,75,"Punk Rock, Plus, Technician",Toxel,,,,,,,,,"When this Pokémon sounds as if it’s strumming a guitar, it’s actually clawing at the protrusions on its chest to generate electricity.",
10220,Centiskorch Gmax,VIII,Radiator Pokémon,Fire,Bug,75.0,1000.0,100,115,65,90,90,65,"Flash Fire, White Smoke, Flame Body",Sizzlipede,,,,,,,,,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.",
10221,Hatterene Gmax,VIII,Silent Pokémon,Psychic,Fairy,26.0,1000.0,57,90,95,136,103,29,"Healer, Anticipation, Magic Bounce",Hattrem,,,,,,,,,It emits psychic power strong enough to cause headaches as a deterrent to the approach of others.,
10222,Grimmsnarl Gmax,VIII,Bulk Up Pokémon,Dark,Fairy,32.0,1000.0,95,120,65,95,75,60,"Prankster, Frisk, Pickpocket",Morgrem,,,,,,,,,"With the hair wrapped around its body helping to enhance its muscles, this Pokémon can overwhelm even Machamp.",
10223,Alcremie Gmax,VIII,Cream Pokémon,Fairy,,30.0,1000.0,65,60,75,110,121,64,"Sweet Veil, Aroma Veil",Milcery,,,,,,,,,"When it trusts a Trainer, it will treat them to berries it’s decorated with cream.",
10224,Copperajah Gmax,VIII,Copperderm Pokémon,Steel,,23.0,1000.0,122,130,69,80,69,30,"Sheer Force, Heavy Metal",Cufant,,,,,,,,,They came over from another region long ago and worked together with humans. Their green skin is resistant to water.,
10225,Duraludon Gmax,VIII,Alloy Pokémon,Steel,Dragon,43.0,1000.0,70,95,115,120,50,85,"Light Metal, Heavy Metal, Stalwart",,,,,,,,,,"Its body resembles polished metal, and it’s both lightweight and strong. The only drawback is that it rusts easily.",
10226,Urshifu Single Strike Gmax,VIII,Wushu Pokémon,Fighting,Dark,29.0,1000.0,100,130,100,63,60,97,Unseen Fist,Kubfu,,,,,,,,,This form of Urshifu is a strong believer in the one-hit KO. Its strategy is to leap in close to foes and land a devastating blow with a hardened fist.,
10227,Urshifu Rapid Strike Gmax,VIII,Wushu Pokémon,Fighting,Water,26.0,1000.0,100,130,100,63,60,97,Unseen Fist,Kubfu,,,,,,,,,This form of Urshifu is a strong believer in the one-hit KO. Its strategy is to leap in close to foes and land a devastating blow with a hardened fist.,
10228,Toxtricity Low Key Gmax,VIII,Punk Pokémon,Electric,Poison,24.0,1000.0,75,98,70,114,70,75,"Punk Rock, Minus, Technician",Toxel,,,,,,,,,"When this Pokémon sounds as if it’s strumming a guitar, it’s actually clawing at the protrusions on its chest to generate electricity.",
10229,Growlithe Hisui,I,Puppy Pokémon,Fire,Rock,0.8,22.7,60,75,45,65,50,55,"Intimidate, Flash Fire, Rock Head",,Very protective of its territory. It will bark and bite to repel intruders from its space.,Very protective of its territory. It will bark and bite to repel intruders from its space.,It has a brave and trustworthy na­ ture. It fear­ lessly stands up to bigger and stronger foes.,"GROWLITHE has a superb sense of smell. Once it smells anything, this POKéMON won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",A Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.,A Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.,Very friendly and faithful to people. It will try to repel enemies by barking and biting.,"It’s both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.",It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,
10230,Arcanine Hisui,I,Legendary Pokémon,Fire,Rock,2.0,168.0,95,115,80,95,80,90,"Intimidate, Flash Fire, Rock Head",Growlithe,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,This legendary Chinese POKEMON is considered magnif­ icent. Many people are enchanted by its grand mane.,"ARCANINE is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this POKéMON’s body is its source of power.",Its proud and regal appearance has captured the hearts of people since long ago.,Its proud and regal appearance has captured the hearts of people since long ago.,A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.,"Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.","The sight of it running over 6,200 miles in a single day and night has captivated many people.",
